Country,Year,Cause,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
Scotland,2004,X45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2004,X65,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Scotland,2004,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2003,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2003,F10,0,0,0,0,0,0,5,6,18,34,55,60,51,58,28,16,16,6,3,0
Scotland,2003,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Scotland,2003,G62.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Scotland,2003,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2003,I42.6,0,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,4,0,0,0
Scotland,2003,K29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Scotland,2003,K70,0,0,0,0,0,1,5,13,53,93,115,158,167,153,99,77,30,11,0,1
Scotland,2003,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2003,K86.0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,0,0,0,0
Scotland,2003,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2003,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2003,X45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2003,X65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Scotland,2003,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2002,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2002,F10,0,0,0,0,2,1,11,10,15,29,49,51,53,56,30,17,9,3,3,0
Scotland,2002,G31.2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
Scotland,2002,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2002,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2002,I42.6,0,0,0,0,0,0,0,0,0,1,1,6,3,10,1,1,1,1,0,0
Scotland,2002,K29.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Scotland,2002,K70,0,0,0,0,0,0,2,24,46,90,138,166,160,130,104,63,23,7,4,0
Scotland,2002,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2002,K86.0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0
