Country,Year,Cause,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
Northern Ireland,2014,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2013,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2013,F10,0,0,0,0,0,0,0,0,0,2,6,10,6,4,4,0,1,0,0,0
Northern Ireland,2013,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2013,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2013,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2013,I42.6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Northern Ireland,2013,K29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2013,K70,0,0,0,0,0,0,0,3,5,12,21,31,27,19,12,12,0,1,0,0
Northern Ireland,2013,K85.2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Northern Ireland,2013,K86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2013,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2013,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2013,X45,0,0,0,0,0,0,2,2,0,6,6,2,2,4,0,1,0,0,0,0
Northern Ireland,2013,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2013,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2012,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2012,F10,0,0,0,0,0,0,0,0,4,4,9,3,11,11,5,4,1,1,0,0
Northern Ireland,2012,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2012,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2012,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2012,I42.6,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,0,0,0,0,0
Northern Ireland,2012,K29.2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Northern Ireland,2012,K70,0,0,0,0,0,1,0,4,11,23,18,32,23,19,12,7,1,1,0,0
Northern Ireland,2012,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2012,K86.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2012,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2012,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2012,X45,0,0,0,0,0,0,0,1,1,3,6,7,7,2,0,1,0,1,0,0
Northern Ireland,2012,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2012,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2011,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2011,F10,0,0,0,0,0,0,0,0,2,7,2,9,2,7,3,3,0,0,1,0
Northern Ireland,2011,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Northern Ireland,2011,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2011,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2011,I42.6,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0
Northern Ireland,2011,K29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2011,K70,0,0,0,0,0,0,0,2,6,27,19,35,21,21,11,8,5,0,1,0
Northern Ireland,2011,K85.2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2011,K86.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Northern Ireland,2011,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2011,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2011,X45,0,0,0,0,0,0,0,4,4,3,4,3,5,2,0,2,0,0,0,0
Northern Ireland,2011,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2011,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2010,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2010,F10,0,0,0,0,0,0,0,2,5,2,6,14,7,6,3,2,0,0,1,0
Northern Ireland,2010,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
